YEAR,NUMBER,ID_TOP_TEN,Name,Summary,cwe,URL_CWE,URL_LEVEL_TOP_TEN
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",22,https://cwe.mitre.org/data/definitions/22.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",23,https://cwe.mitre.org/data/definitions/23.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",35,https://cwe.mitre.org/data/definitions/35.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",59,https://cwe.mitre.org/data/definitions/59.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",200,https://cwe.mitre.org/data/definitions/200.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",201,https://cwe.mitre.org/data/definitions/201.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",219,https://cwe.mitre.org/data/definitions/219.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",264,https://cwe.mitre.org/data/definitions/264.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",275,https://cwe.mitre.org/data/definitions/275.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",276,https://cwe.mitre.org/data/definitions/276.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",284,https://cwe.mitre.org/data/definitions/284.html,https://cwe.mitre.org/data/definitions/1344.html
2021,1,A01:2021,"A01:2021 - Broken Access Control","Weaknesses in this category are related to the A01 category ""Broken Access Control"" in the OWASP Top Ten 2021.",285,https://cwe.mitre.org/data/definitions/285.html,https://cwe.mitre.org/data/definitions/1344.html
